ID_ALIMENTO,NOMBRE_ALIMENTO,CATEGORIA,ENERGIA_KCAL,PROTEINA_G,GRASA_G,CARBOHIDRATOS_G,CALCIO_MG,HIERRO_MG,ZINC_MG,VIT_A_MCG,VIT_C_MG,FOLATO_MCG,FC_COMESTIBLE
1001,Crema Espesa de Vaca,Lacteos,345,2.05,37,2.79,65,0.03,0.23,411,1,4,1
1009,Leche Condensada Azucarada,Lacteos,321,7.91,8.7,54.4,284,0.19,0.94,74,3,11,1
1011,Leche de Vaca en Polvo Descremada,Lacteos,362,36.16,0.77,51.98,1257,0.32,4.08,6,7,50,1
1016,Leche de Vaca en Polvo Entera,Lacteos,496,26.32,26.71,38.42,912,0.47,3.34,257,9,37,1
1041,Yogurt Leche Entera Natural,Lacteos,61,3.47,3.25,4.66,121,0.05,0.59,27,1,7,1
2002,Huevo de Gallina Entero Crudo,Huevos,147,12.58,9.94,0.77,53,1.83,1.11,140,0,47,0.88
3015,Pollo Alas con Piel Cocidas,Carnes Aves,249,22.78,16.82,0,12,1.13,1.63,40,0,3,0.52
3019,Pollo Carne sin Piel Cruda,Carnes Aves,119,21.39,3.08,0,12,0.89,1.54,2,0,7,0.48
3040,Pollo Pechuga sin Piel Frita,Carnes Aves,187,33.44,4.71,0.51,16,1.14,1.08,7,0,4,0.73
4001,Cerdo Bazo Crudo,Carnes Cerdo,100,17.86,2.59,0,10,22.32,2.54,0,29,4,1
4027,Cerdo Carne Magra Cocida,Carnes Cerdo,209,28.62,9.63,0,18,1.09,2.53,2,1,1,0.72
5019,Res Bazo Crudo,Carnes Res,105,18.3,3,0,9,44.55,2.11,0,46,4,1
5023,Res Carne Semimagra Asada,Carnes Res,291,26.42,19.71,0,9,2.68,6,0,0,7,0.87
8019,Atun Enlatado en Aceite,Pescados,186,26.53,8.08,0,4,0.65,0.47,5,0,5,1
8039,Sardina enlatada en Aceite,Pescados,208,24.62,11.45,0,382,2.92,1.31,32,0,12,1
8057,Pescado Tilapia Asada,Pescados,128,26.15,2.65,0,14,0.69,0.41,0,0,6,1
9003,Frijol Blanco Grano Seco,Leguminosas,333,23.36,0.85,60.27,240,10.44,3.67,0,0,388,1
9009,Frijol Negro Grano Seco,Leguminosas,343,22.7,1.6,61.6,134,7.1,2.55,1,0,463,1
9012,Frijol Rojo Grano Seco,Leguminosas,337,22.53,1.06,61.29,83,6.69,2.79,0,0,394,1
11005,Aguacate,Verduras,160,2,14.66,8.53,12,0.55,0.64,7,10,81,0.74
11033,Camote/Batata Amarilla Cruda,Verduras,86,1.57,0.05,20.12,30,0.61,0.3,709,2,11,0.72
11083,Espinaca Cruda,Verduras,23,2.86,0.39,3.63,99,2.71,0.53,469,28,194,0.75
11134,Papas (Patatas) Harina,Verduras,357,6.9,0.34,83.08,65,1.38,0.54,0,4,25,1
11170,Zanahoria Cruda,Verduras,41,0.9,0.1,9.4,32,0.6,0.2,666,6,14,0.8
12010,Banano/Guineo Maduro,Frutas,89,1.09,0.33,22.84,5,0.26,0.15,3,9,20,0.64
12083,Manzana Deshidratada,Frutas,346,1.32,0.58,93.53,19,2,0.29,4,2,0,1
12130,Platano Maduro Crudo,Frutas,122,1.3,0.37,31.89,3,0.6,0.14,56,18,22,0.65
13002,Arroz Blanco Pulido Enriquecido,Cereales,360,6.61,0.58,79.34,9,4.36,1.16,0,0,222,1
13025,Harina de Arroz Blanco,Cereales,366,5.95,1.42,80.13,10,0.35,0.8,0,0,4,1
13040,Harina de Trigo Fortificada (Pan),Cereales,361,11.98,1.66,72.53,15,4.41,0.85,0,0,150,1
13044,Maicena (Fecula Maiz),Cereales,357,0.6,0.2,85.6,8,0,0.06,0,0,0,1
13052,Maiz Blanco Grano Entero,Cereales,365,9.42,4.74,74.26,7,2.71,2.21,0,0,0,1
16002,Aceite Vegetal (Ajonjoli/Girasol),Grasas,884,0,100,0,0,0,0,0,0,0,1
15001,Azucar Blanca Granulada,Azucares,384,0,0,99.1,1,0.1,0,0,0,0,1
15025,Miel de Caña,Azucares,284,0.5,0.2,72.6,70,1.2,0.22,0,3,0,1
